,UCS,dry_weight,type
0,5.005287687769661,7.9391588179567965,0.0
1,4.833102254034098,7.912789220690681,0.0
2,4.423648309364701,7.922261058353247,0.0
3,3.1945831322991562,7.7142311448490855,0.0
4,3.1179499062782403,7.8547691834991324,0.0
5,4.478472532942134,7.787796878181171,0.0
18,4.1059436980654525,7.920083199053234,0.0
19,4.467056883858457,7.9441374911141125,0.0
20,4.127134385045092,7.908019444632471,0.0
21,4.560172820057356,7.917171988845776,0.0
22,5.0106352940962555,7.9420068084898565,0.0
23,3.6988297849671046,7.934513463882263,0.0
24,4.207673247529104,7.937017489515454,0.0
25,4.383275854074314,7.916807490937603,0.0
26,4.154184562578117,7.895436006942965,0.0
27,5.065754593317335,7.9215356321335495,0.0
28,3.6428355156125294,7.9211727215870145,0.0
29,4.290459441148391,7.91644286012226,0.0
30,5.0682750735426705,7.96346006663897,0.0
31,4.882044059723269,7.963807953231451,0.0
32,4.000033882750859,7.955425088912672,0.0
33,4.845760650906022,7.96311205897929,0.0
34,4.177459468932607,7.965198290612176,0.0
35,4.802380355275797,7.97728198675515,0.0
36,4.540098189244376,7.978310969867722,0.0
37,4.553876891600541,7.962763930168115,0.0
38,4.918520005188451,7.975908360165538,0.0
39,4.123903364463645,7.961370201719511,0.0
40,4.465908118654584,7.960672608388117,0.0
41,4.9464309393411,7.939515260662406,0.0
42,2.89591193827178,7.679713639966372,0.0
43,2.8507065015037334,7.679713639966372,0.0
44,3.077312260546414,7.690286020676768,0.0
45,2.8903717578961645,7.736743682453495,0.0
46,2.151762203259462,7.692113339595466,0.0
47,2.833213344056216,7.679251425953058,0.0
48,2.4423470353692043,7.5883236773352225,0.0
49,2.4595888418037104,7.634820677745543,0.0
50,2.4159137783010487,7.656337166430183,0.0
51,3.039749158970765,7.671826797878781,0.0
52,4.119037174812473,7.970049304976135,0.0
53,4.168214410788556,7.967973179662935,0.0
54,3.676300671907076,7.792761720816526,0.0
55,3.8066624897703196,7.870547844507712,0.0
56,3.2228678461377385,7.8168199657645525,0.0
57,3.9080149840306073,7.917536353943631,0.0
58,2.2512917986064953,7.563200592358071,0.6931471805599453
59,2.1041341542702074,7.489970898834801,0.6931471805599453
60,1.840549633397487,7.484930283289661,0.6931471805599453
61,2.0149030205422647,7.463363045520021,0.6931471805599453
62,2.0794415416798357,7.488852955733459,0.6931471805599453
63,2.2512917986064953,7.552762084214147,0.6931471805599453
64,2.4159137783010487,7.480992162869525,0.6931471805599453
74,2.970414465569701,7.554858521040676,1.0986122886681098
75,3.0492730404820207,7.61972421378267,1.0986122886681098
76,2.8678989020441064,7.565793282428515,1.0986122886681098
77,2.6602595372658615,7.599401333415815,1.0986122886681098
78,2.6878474937846906,7.5688956634069955,1.0986122886681098
79,2.9444389791664403,7.578656850594762,1.0986122886681098
80,1.824549292051046,7.545389749611823,1.0986122886681098
81,2.766319109226186,7.62657020629066,1.0986122886681098
82,2.6741486494265287,7.561121589530238,1.0986122886681098
83,2.797281334830153,7.605890001053122,1.0986122886681098
84,2.631888840136646,7.617267813628347,1.0986122886681098
85,2.509599262378372,7.621684998724611,1.0986122886681098
86,2.501435951739211,7.575071699507561,1.0986122886681098
87,2.760009940032921,7.566311014772463,1.0986122886681098
88,3.4210000089583352,7.8252452914317745,1.0986122886681098
89,2.5572273113676265,7.534762657037537,1.0986122886681098
90,2.066862759472976,7.4489161025442,1.0986122886681098
91,2.2192034840549946,7.422971251049421,1.0986122886681098
92,2.2300144001592104,7.368970402194793,1.0986122886681098
93,2.151762203259462,7.6708948313621175,1.0986122886681098
95,1.9459101490553132,7.533158807455563,1.0986122886681098
98,3.784189633918261,7.952966790923131,0.0
101,4.6443908991413725,7.945555428253489,0.0
117,4.461299815568389,7.908754738783246,0.0
123,2.302585092994046,7.614805364711073,1.0986122886681098
125,2.760009940032921,7.673223121121708,1.0986122886681098
126,4.475061500641071,7.96346006663897,0.0
129,3.091042453358316,7.61972421378267,1.0986122886681098
133,4.747537427275013,7.96346006663897,0.0
135,3.5322256440685598,7.920083199053234,0.0
140,4.162003210695915,7.859026979751538,0.0
144,2.2512917986064953,7.614805364711073,1.0986122886681098
149,2.0794415416798357,7.536363938404511,0.0
156,4.138361447638875,7.866722285136729,0.0
160,3.3945083935113587,7.759614150696903,0.0
162,2.509599262378372,7.609862200913554,0.0
168,2.3702437414678603,7.520234556474628,1.0986122886681098
170,4.3134800921387715,7.9420068084898565,0.0
174,4.515245478460105,7.9599745280805365,0.0
180,1.9740810260220096,7.759614150696903,0.0
182,2.0918640616783932,7.427144133408616,1.0986122886681098
184,3.7471483622379123,7.746300662231439,0.0
189,4.732683506287051,7.952966790923131,0.0
193,1.667706820558076,7.701652362642226,0.0
198,3.784189633918261,7.882314918980268,0.0
200,3.044522437723423,7.751045117971802,0.0
206,4.9082333604781745,7.956476798036782,0.0
212,2.6602595372658615,7.584264818389059,1.0986122886681098
214,3.8372994592322094,7.830822995135316,0.0
217,2.580216829592325,7.659171367666058,0.0
221,5.2235938203521,7.974188669286011,0.0
228,3.5467396869528134,7.91644286012226,0.0
232,3.9435216724875173,7.81035268372429,0.0
