,index,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,T,pred_class
178,197,BHA-103,2232.0,5.0,10.0,12.541390846343852,0.21,1,BS,3.5392746666665436,2
180,199,BHA-105,2222.0,6.0,14.5,9.836110243780622,0.14360000000000003,1,BS,1.65,2
181,200,BHA-106,2324.0,6.0,21.0,10.5,0.15,1,BS,4.5255056333332435,3
182,201,BHA-107,2680.0,2.0,30.1,28.813038188309644,0.19579999999999997,1,BS,6.7704835642856125,4
185,204,BHA-110,2140.0,4.0,31.6,15.403150335126968,0.12319999999999993,1,BS,4.965493999999845,3
186,205,BHA-111,1967.0,11.0,11.6064,22.782833236643704,0.08300000000000002,1,BS,1.22,1
195,216,BHA-122,2578.666666666669,3.0,26.75999999999999,21.674854935030964,0.2800000000000001,1,BS,6.6057893428570855,4
196,217,BHA-123,2120.0,5.0,13.2,6.5,0.18,1,BS,2.63,2
197,218,BHA-124,2161.0,5.0,14.1,10.867449241163207,0.18220000000000003,1,BS,2.94,2
201,222,BHA-128,2782.0,1.0,22.3,25.226508792050854,0.2358,1,BS,10.87,4
204,228,BHA-134,2742.0,1.0,34.7,45.6,0.17,1,BS,11.64,4
207,231,BHA-137,2528.0,4.0,31.7,27.06685114248794,0.19140000000000007,1,BS,6.24,4
