,index,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,T,pred_class,type_str
56,56,g-10,2482.0,3.3,25.1,30.4,0.16,1,BS-S,5.621998499999895,2,Basalt
57,57,g-11,2745.0,0.8,49.8,54.1,0.24,1,BS-S,9.265663523809208,3,Basalt
58,58,b-1,1926.0,7.92,9.5,1.1,0.12,2,BS-W_Nt,1.8297281904761795,0,Nontronite
59,59,b-2,1790.0,12.03,8.2,1.0,0.19,2,BS-W_Nt,1.4344336142856444,0,Nontronite
60,60,b-3,1781.0,13.68,6.3,1.0,0.29,2,BS-W_Nt,1.7788091571428264,0,Nontronite
61,61,b-4,1743.0,12.19,7.5,2.7,0.13,2,BS-W_Nt,1.8522344238094746,0,Nontronite
62,62,b-5,1788.0,12.71,8.0,1.2,0.28,2,BS-W_Nt,1.4268592142856498,0,Nontronite
63,63,b-6,1906.0,12.81,9.5,1.2,0.28,2,BS-W_Nt,1.6971849238095078,0,Nontronite
64,64,bs-16,1774.0,10.54,11.2,2.7,0.25,2,BS-W_Nt,1.5650257666666496,0,Nontronite
65,65,bs-16,1760.0,18.2,3.85,1.4878032589238495,0.23279999999999987,2,BS-W_Nt,2.1946280079365126,0,Nontronite
66,66,bs-17,1737.0,19.6,3.38,2.0042626572119717,0.18479999999999994,2,BS-W_Nt,2.134293007936499,0,Nontronite
67,67,bs-18,1842.0,15.4,3.64,1.1050954695358703,0.2137999999999999,2,BS-W_Nt,2.27091190317461,0,Nontronite
68,68,c-1,1874.0,10.9,10.48,1.5079172217530208,0.24979999999999997,2,BS-W_Nt,1.624503761904744,0,Nontronite
69,69,c-2,1967.0,7.6,11.08,1.6592648365744327,0.19699999999999995,2,BS-W_Nt,2.0599012666666567,0,Nontronite
70,70,c-3,1718.0,12.6,10.43,2.3456525708749245,0.1968,2,BS-W_Nt,1.405207733333294,0,Nontronite
71,71,c-4,1733.0,12.7,10.83,2.46260432335514,0.1968,2,BS-W_Nt,1.5099369333333006,0,Nontronite
72,72,c-5,1770.0,12.9,11.83,2.7000000000000015,0.245,2,BS-W_Nt,1.5490497666666485,0,Nontronite
73,73,c-6,1719.0,13.2,10.66,2.422986459883261,0.20160000000000003,2,BS-W_Nt,1.4089657333332946,0,Nontronite
74,74,B - 10,1910.0,5.36,19.5,6.8,0.1,3,PYR,2.073145416666699,1,Pyroclastic
75,75,B - 11,2038.0,5.2,21.1,7.3,0.1,3,PYR,2.6284813000001113,1,Pyroclastic
76,76,B - 12,1931.0,6.38,17.6,6.1,0.1,3,PYR,1.8957735380952598,1,Pyroclastic
77,77,B - 7,1997.0,4.46,14.3,5.7,0.14,3,PYR,2.156072999999987,1,Pyroclastic
78,78,B - 8,1937.0,5.5,14.7,7.4,0.17,3,PYR,2.100031138095238,1,Pyroclastic
79,79,B - 9,1956.0,5.26,19.0,6.3,0.17,3,PYR,2.189284371428614,1,Pyroclastic
80,80,PYR - 10,1892.0,6.04,6.2,7.5,0.06,3,PYR,1.8746367476190666,1,Pyroclastic
81,81,PYR - 11,2052.0,5.88,15.9,6.6,0.12,3,PYR,2.2932416142856753,1,Pyroclastic
82,82,PYR - 13,1922.0,5.82,14.5,4.9,0.09,3,PYR,2.084702438095258,1,Pyroclastic
83,83,PYR - 14,2010.0,5.85,16.4,7.1,0.28,3,PYR,2.2611223142856787,1,Pyroclastic
84,84,PYR - 15,2033.0,6.41,13.9,5.6,0.18,3,PYR,2.258379999999974,1,Pyroclastic
85,85,PYR - 16,2042.0,5.82,12.3,7.4,0.15,3,PYR,2.2776841999999213,1,Pyroclastic
86,86,PYR - 17,1949.0,6.22,12.2,6.0,0.28,3,PYR,2.149716271428582,1,Pyroclastic
87,87,PYR - 18,1932.0,6.37,15.8,9.0,0.21,3,PYR,2.0884629047619083,1,Pyroclastic
88,88,PYR-1,2503.0,3.01,30.6,22.1,0.17,3,PYR,6.176391595238114,1,Pyroclastic
89,89,PYR-2,1872.0,3.12,12.9,3.3,0.14,3,PYR,1.666684499999991,1,Pyroclastic
90,90,PYR-3,1718.0,5.63,7.9,5.2,0.32,3,PYR,1.1985986047618344,1,Pyroclastic
91,91,PYR-4,1674.0,5.29,9.2,5.6,0.19,3,PYR,0.9168094000000107,1,Pyroclastic
92,92,PYR-5,1586.0,4.81,9.3,6.7,0.41,3,PYR,1.0506043285714401,1,Pyroclastic
93,93,PYR-6,2145.0,4.22,8.6,4.4,0.4,3,PYR,1.9978264999999722,1,Pyroclastic
94,94,PYR - 7,2000.0,12.31,3.54,7.306058246534128,0.15859999999999988,3,PYR,2.125455850793738,1,Pyroclastic
95,95,PYR - 9,1869.0,6.3,7.0,8.0,0.15,3,PYR,2.0603133857142732,1,Pyroclastic
96,98,BHA-3,2844.0,1.0,44.0,78.7,0.21,1,BS,10.94,3,Basalt
97,99,BHA-4,2793.0,1.0,48.31,68.95630227511572,0.24540000000000006,1,BS,8.59,3,Basalt
98,100,BHA-5,2833.0,1.0,111.77,67.8516783354709,0.25939999999999985,1,BS,7.69,4,Basalt
99,101,BHA-6,2823.0,1.0,104.0,71.6,0.21,1,BS,13.733911366666417,4,Basalt
100,116,BHA-21,2232.0,4.0,11.05,7.084483909179,0.22940000000000013,3,PYR,4.14,1,Pyroclastic
101,117,BHA-22,2721.0,2.0,86.6,57.6,0.23,1,BS,10.725795819047653,3,Basalt
102,118,BHA-23,2222.0,4.0,27.15,16.036026005822986,0.16039999999999993,1,BS,8.64,2,Basalt
103,119,BHA-24,1671.0,13.0,9.201999999999993,5.660583922767324,0.19180000000000008,3,PYR,0.46,1,Pyroclastic
104,120,BHA-25,2446.0,3.0,15.46,19.968485214423914,0.17060000000000006,1,BS,4.485731833333242,2,Basalt
105,121,BHA-26,1957.0,5.0,7.4,6.8141161942871005,0.2270000000000001,3,PYR,5.51,1,Pyroclastic
106,122,BHA-27,2864.0,1.0,74.81,35.775742030426414,0.19600000000000006,3,PYR,1.58,1,Pyroclastic
107,123,BHA-28,2028.0,6.0,10.0,8.5,0.35,3,PYR,3.17,1,Pyroclastic
108,124,BHA-29,2680.0,2.0,76.85,48.149669073472815,0.1868,1,BS,8.804505666666548,3,Basalt
109,125,BHA-30,2150.0,3.0,15.8,9.6,0.23,3,PYR,2.73,1,Pyroclastic
110,126,BHA-31,2874.0,0.66,87.8,61.1,0.24,1,BS,11.12,3,Basalt
111,127,BHA-32,2110.0,5.5,10.3,6.219251512621125,0.2856000000000001,3,PYR,2.0995620999999787,1,Pyroclastic
112,128,BHA-33,1773.0,5.29,12.73,4.076460225932193,0.20559999999999998,3,PYR,1.54,1,Pyroclastic
113,129,BHA-34,2038.0,4.0,22.0,6.4,0.11,3,PYR,2.04,1,Pyroclastic
114,130,BHA-35,2721.0,1.62,37.5,43.75874450590971,0.18960000000000002,1,BS,3.53,3,Basalt
115,131,BHA-36,2925.0,0.2,195.9,71.45798498669096,0.21319999999999997,1,BS,11.75,4,Basalt
116,132,BHA-37,2905.0,0.43,101.33,70.976396778296,0.23100000000000012,1,BS,16.21,4,Basalt
117,133,BHA-38,2874.0,0.67,115.3,80.2,0.27,1,BS,16.75,4,Basalt
118,134,BHA-39,1814.0,7.81,9.46,5.736680244291785,0.22780000000000006,3,PYR,1.61,1,Pyroclastic
119,135,BHA-40,2752.0,1.81,34.2,14.2,0.1,1,BS,18.15,2,Basalt
120,137,BHA-42,2140.0,3.25,19.73,14.98101996716442,0.05759999999999997,1,BS,1.61,2,Basalt
121,138,BHA-43,2752.0,1.19,54.13,57.50217690555384,0.22140000000000018,1,BS,10.126214590475815,3,Basalt
122,139,BHA-44,2895.0,0.43,98.0,74.86987036314925,0.23340000000000014,1,BS,14.800362500000125,4,Basalt
123,140,BHA-45,2589.0,2.8,64.2,29.8,0.1,1,BS,12.36,3,Basalt
124,141,BHA-46,2844.0,0.48,117.28,66.83343320666502,0.2677999999999997,1,BS,13.13,4,Basalt
125,143,BHA-49,1824.0,11.0,3.8000000000000025,10.974243604166825,0.25240000000000007,1,BS,3.93,2,Basalt
126,144,BHA-50,2028.0,7.9,9.5,9.1,0.3339999999999999,3,PYR,2.54,1,Pyroclastic
127,145,BHA-51,2803.0,1.36,60.9,65.02657585481141,0.25560000000000005,1,BS,9.402523380952244,3,Basalt
128,146,BHA-52,1997.0,6.3,2.6,7.210081883251059,0.15699999999999986,3,PYR,2.2873124507937277,1,Pyroclastic
